Discription;Longitude;Latitude;Code;Date
Rock fall;39.9033661;21.4242588;WhatsApp Image 2026-01-07 at 3.01.45 PM (1).jpeg;01/07/2026
Rock fall;39.903294;21.421269;WhatsApp Image 2026-01-07 at 3.18.20 PM.jpeg;01/07/2026
Rock fall;39.902894;21.421206;WhatsApp Image 2026-01-08 at 2.00.50 PM (2).jpe;01/08/2026
Rock fall;39.903297;21.419276;WhatsApp Image 2026-01-08 at 3.38.52 PM.jpeg;01/08/2026
Rock fall;39.9035249;21.4242977;WhatsApp Image 2026-01-08 at 8.57.43 AM.jpeg;01/08/2026
Rock fall;39.9034664;21.4248707;WhatsApp Image 2026-01-08 at 9.40.46 AM.jpeg;01/08/2026
Rock fall;39.903523;21.424868;WhatsApp Image 2026-01-08 at 11.19.12 AM.jpeg;01/08/2026
Rock fall;39.903428;21.425109;WhatsApp Image 2026-01-08 at 12.17.02 PM.jpeg;01/08/2026
Rock fall;39.9027812;21.4252028;WhatsApp Image 2026-01-10 at 3.24.57 PM.JPG;01/10/2026
Rock fall;39.903507;21.423693;WhatsApp Image 2026-01-11 at 9.40.49 AM.JPG;01/11/2026
Rock fall;39.9038031;21.4238982;WhatsApp Image 2026-01-11 at 10.13.22 AM.jpeg;01/11/2026
Rock fall;39.903504;21.423695;WhatsApp Image 2026-01-11 at 10.19.28 AM.JPG;01/11/2026
Rock fall;39.902737;21.419986;WhatsApp Image 2026-01-11 at 11.22.02 AM.JPG;01/11/2026
Rock fall;39.903392;21.417073;WhatsApp Image 2026-01-12 at 10.21.40 AM.jpeg;01/12/2026
Rock fall;39.90372;21.421202;WhatsApp Image 2026-01-12 at 11.21.21 AM.JPG;01/12/2026
;;;;
Transition zone;39.902803;21.421236;WhatsApp Image 2026-01-10 at 3.39.30 PM.jpeg;01/10/2026
Transition zone;39.903267;21.422194;WhatsApp Image 2026-01-10 at 9.10.18 AM.jpeg;01/10/2026
Transition zone;39.903484;21.422596;WhatsApp Image 2026-01-10 at 9.32.42 AM.jpeg;01/10/2026
Transition zone;39.903489;21.422061;WhatsApp Image 2026-01-10 at 10.01.37 AM.jpeg;01/10/2026
Transition zone;39.902813;21.420991;WhatsApp Image 2026-01-11 at 9.13.40 AM.jpeg;01/11/2026
Transition zone;39.903226;21.416443;WhatsApp Image 2026-01-12 at 10.54.38 AM.jpeg;01/12/2026
;;;;
Water channel;39.90372;21.421202;WhatsApp Image 2026-01-07 at 3.03.43 PM.jpeg;01/07/2026
Water channel;39.903349;21.420544;WhatsApp Image 2026-01-08 at 8.51.09 AM.jpeg;01/08/2026
Water channel;39.903352;21.420403;WhatsApp Image 2026-01-08 at 9.08.16 AM.jpeg;01/08/2026
Water channel;39.9032003;21.4248016;WhatsApp Image 2026-01-08 at 12.05.25 PM.jpeg;01/08/2026
Water channel;39.9030363;21.4233419;WhatsApp Image 2026-01-10 at 8.31.47 AM.jpeg;01/10/2026
Water channel;39.9029;21.42021;WhatsApp Image 2026-01-11 at 9.20.09 AM.JPG;01/11/2026
Water channel;39.902915;21.420578;WhatsApp Image 2026-01-11 at 9.20.18 AM.JPG;01/11/2026
;;;;
;;;;
;;;;
Geological phenomena;39.903528;21.4238904;WhatsApp Image 2026-01-07 at 2.58.21 PM.jpeg;01/07/2026
Geological phenomena;39.903542;21.4238836;WhatsApp Image 2026-01-07 at 2.58.22 PM (1).jpeg;01/07/2026
Geological phenomena;39.90372;21.421202;WhatsApp Image 2026-01-07 at 3.03.43 PM.jpeg;01/07/2026
Geological phenomena;39.903376;21.421345;WhatsApp Image 2026-01-07 at 3.07.02 PM.jpeg;01/07/2026
Geological phenomena;39.9033273;21.4243031;WhatsApp Image 2026-01-07 at 3.15.33 PM.jpeg;01/07/2026
Geological phenomena;39.9033916;21.4240282;WhatsApp Image 2026-01-07 at 3.33.35 PM.jpeg;01/07/2026
Geological phenomena;39.903443;21.42107;WhatsApp Image 2026-01-07 at 3.41.15 PM.jpeg;01/07/2026
Geological phenomena;39.903358;21.420563;WhatsApp Image 2026-01-08 at 8.55.57 AM.jpeg;01/08/2026
Geological phenomena;39.903369;21.424268;WhatsApp Image 2026-01-08 at 8.59.53 AM (1).jpeg;01/08/2026
Geological phenomena;39.903378;21.424249;WhatsApp Image 2026-01-08 at 8.59.56 AM.jpeg;01/08/2026
Geological phenomena;39.903374;21.424247;WhatsApp Image 2026-01-08 at 8.59.57 AM.jpeg;01/08/2026
Geological phenomena;39.903373;21.420461;WhatsApp Image 2026-01-08 at 9.01.15 AM.jpeg;01/08/2026
Geological phenomena;39.90361;21.424797;WhatsApp Image 2026-01-08 at 9.04.40 AM.jpeg;01/08/2026
Geological phenomena;39.9033;21.420369;WhatsApp Image 2026-01-08 at 9.12.50 AM.jpeg;01/08/2026
Geological phenomena;39.903304;21.420362;WhatsApp Image 2026-01-08 at 9.17.01 AM.jpeg;01/08/2026
Geological phenomena;39.903142;21.420358;WhatsApp Image 2026-01-08 at 10.09.16 AM.jpeg;01/08/2026
